Report_Week,INITIAL_S_F,INITIAL_S_A,INITIAL_S_A_4-Week,Continued_Claims_N_S_A,Continued_Claims_S_F,Continued Claims_S_A,Covered_Employment
01/11/2020,"338,550",163.7,"207,000","214,250","2,141,587",123.4,1.2
01/18/2020,"282,088",128.5,"220,000","214,750","2,079,050",122.0,1.2
01/25/2020,"229,002",108.1,"212,000","212,750","2,152,733",122.8,1.2
02/01/2020,"224,664",111.5,"201,000","210,000","2,087,525",124.4,1.2
02/08/2020,"219,601",107.9,"204,000","209,250","2,099,073",121.4,1.2
02/15/2020,"209,336",97.4,"215,000","208,000","2,061,669",121.8,1.2
02/22/2020,"199,278",90.5,"220,000","210,000","2,105,457",122.4,1.2
02/29/2020,"216,982",99.8,"217,000","214,000","2,057,280",121.1,1.2
03/07/2020,"200,382",95.0,"211,000","215,750","1,977,272",116.2,1.2
03/14/2020,"251,416",89.3,"282,000","232,500","2,074,782",116.3,1.2
03/21/2020,"2,920,162",88.3,"3,307,000","1,004,250","3,416,645",111.7,2.1
03/28/2020,"6,015,821",87.6,"6,867,000","2,666,750","8,168,375",109.7,5.1
04/04/2020,"6,211,406",93.9,"6,615,000","4,267,750","12,461,658",104.6,8.2
04/11/2020,"4,965,046",94.8,"5,237,000","5,506,500","16,277,322",102.9,10.9
04/18/2020,"4,281,648",96.4,"4,442,000","5,790,250","17,794,965",98.8,12.4
04/25/2020,"3,515,439",90.9,"3,867,000","5,040,250","21,772,595",97.3,15.4
05/02/2020,"2,855,561",89.9,"3,176,000","4,180,500","20,879,704",92.6,15.5
05/09/2020,"2,356,626",87.7,"2,687,000","3,543,000","22,794,145",91.5,17.1
05/16/2020,"2,181,640",89.2,"2,446,000","3,044,000","18,861,428",90.5,14.3
05/23/2020,"1,915,138",90.2,"2,123,000","2,608,000","19,098,624",89.8,14.6
05/30/2020,"1,620,008",85.4,"1,897,000","2,288,250","18,628,166",90.4,14.1
06/06/2020,"1,561,267",99.7,"1,566,000","2,008,000","18,422,711",90.8,13.9
06/13/2020,"1,463,363",95.0,"1,540,000","1,781,500","17,654,450",91.8,13.2
06/20/2020,"1,460,056",98.5,"1,482,000","1,621,250","17,427,940",92.9,12.9
06/27/2020,"1,426,618",101.3,"1,408,000","1,499,000","16,516,869",93.0,12.2
07/04/2020,"1,395,081",106.5,"1,310,000","1,435,000","17,321,763",100.1,11.8
07/11/2020,"1,512,816",115.7,"1,308,000","1,377,000","16,344,839",101.2,11.1
07/18/2020,"1,376,925",96.8,"1,422,000","1,362,000","16,815,346",99.2,11.6
07/25/2020,"1,207,045",84.1,"1,435,000","1,368,750","15,832,498",98.4,11.0
08/01/2020,"988,309",83.0,"1,191,000","1,339,000","15,201,491",98.2,10.6
08/08/2020,"838,734",86.4,"971,000","1,254,750","14,182,946",96.1,10.1
08/15/2020,"889,738",80.6,"1,104,000","1,175,250","13,869,218",95.7,9.9
08/22/2020,"825,761",81.7,"1,011,000","1,069,250","13,142,717","-149,328.0",9.1
08/29/2020,"837,008","-47,248.0","884,000","992,500","13,355,586","-188,292.0",9.3
09/05/2020,"865,995","-27,029.0","893,000","973,000","12,440,863","-306,112.0",8.7
09/12/2020,"796,015","-69,623.0","866,000","913,500","12,431,032","-316,044.0",8.7
09/19/2020,"827,212","-45,732.0","873,000","879,000","11,622,396","-356,475.0",8.2
09/26/2020,"798,996","-49,983.0","849,000","870,250","10,230,506","-363,565.0",7.2
10/03/2020,"731,249","-35,664.0","767,000","838,750","9,011,067","-386,491.0",6.4
10/10/2020,"829,742","-12,520.0","842,000","832,750","8,091,731","-380,477.0",5.8
10/17/2020,"766,520","-30,882.0","797,000","813,750","7,489,704","-333,485.0",5.3
10/24/2020,"738,709","-18,884.0","758,000","791,000","6,888,363","-333,727.0",4.9
10/31/2020,"743,904","-12,785.0","757,000","788,500","6,498,415","-299,892.0",4.6
11/07/2020,"725,361","14,313.0","711,000","755,750","6,079,652","-290,454.0",4.3
